ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000504.SZ,1993-06-14,10.9065,10.4424,0.0444
000504.SZ,1993-06-21,11.3130,11.1436,0.0152
000504.SZ,1993-07-05,11.1775,10.5340,0.0611
000504.SZ,1993-09-27,9.3814,9.2469,0.0145
000505.SZ,1993-05-31,6.7288,6.1466,0.0947
000505.SZ,1993-07-05,7.5565,7.1966,0.0500
000505.SZ,1993-07-19,6.0452,5.8652,0.0307
000506.SZ,1993-06-21,6.2590,5.9610,0.0500
000506.SZ,1993-07-05,6.3186,5.8119,0.0872
000506.SZ,1993-07-19,5.2456,4.9774,0.0539
000506.SZ,1993-08-09,4.9476,4.8880,0.0122
000507.SZ,1993-06-21,4.1060,3.9937,0.0281
000507.SZ,1993-07-05,4.1702,3.8494,0.0833
000507.SZ,1993-07-19,3.3682,3.2078,0.0500
000507.SZ,1993-08-23,4.8278,4.7636,0.0135
000509.SZ,1993-07-05,1.5113,1.4811,0.0204
000518.SZ,2000-02-28,1.1019,1.0074,0.0938
000538.SZ,2026-04-30,53.0500,54.6300,0.0289
000563.SZ,2026-04-28,3.2200,3.2800,0.0183
000568.SZ,2026-01-30,122.8700,124.2300,0.0109
000591.SZ,2026-01-08,4.5000,4.5600,0.0132
000600.SZ,2026-01-07,8.6200,8.7200,0.0115
000615.SZ,2025-12-29,3.5300,4.1800,0.1555
000651.SZ,2026-01-23,39.8500,40.8500,0.0245
000691.SZ,2026-01-05,7.0500,9.1000,0.2253
000700.SZ,2026-01-08,14.7000,15.0300,0.0220
000739.SZ,2026-04-29,18.5800,18.8100,0.0122
000788.SZ,2026-03-10,6.1400,6.3100,0.0269
000889.SZ,1998-06-30,7.7800,14.0000,0.4443
000889.SZ,2000-06-26,17.3600,17.9900,0.0350
000889.SZ,2001-08-30,9.4700,12.3600,0.2338
000889.SZ,2007-05-30,9.7400,11.2000,0.1304
000889.SZ,2020-07-10,7.7300,10.8200,0.2856
000890.SZ,1999-07-15,14.2600,14.5600,0.0206
000890.SZ,2000-09-07,17.4100,24.3700,0.2856
000890.SZ,2000-12-13,20.7200,21.4900,0.0358
000890.SZ,2001-06-22,16.0300,20.9400,0.2345
000890.SZ,2002-06-24,9.8200,9.9200,0.0101
000890.SZ,2003-08-18,5.7600,5.8600,0.0171
000890.SZ,2005-08-09,3.0200,3.0700,0.0163
000890.SZ,2006-07-19,3.0200,3.9800,0.2412
000890.SZ,2017-06-07,7.9700,8.0700,0.0124
000892.SZ,1999-07-14,10.5000,10.8300,0.0305
000892.SZ,1999-11-08,8.3900,13.4300,0.3753
000892.SZ,2001-10-16,12.1600,18.3100,0.3359
000893.SZ,2013-06-17,13.7700,13.9200,0.0108
000893.SZ,2014-05-22,10.6400,16.1100,0.3395
000895.SZ,1999-07-07,16.6400,21.6300,0.2307
000895.SZ,2000-06-06,15.4400,20.0700,0.2307
000895.SZ,2001-05-17,15.9800,16.4800,0.0303
000895.SZ,2002-06-21,11.4700,11.6000,0.0112
000895.SZ,2003-04-25,12.6100,13.1100,0.0381
000895.SZ,2004-04-07,13.1900,20.4800,0.3560
000895.SZ,2005-04-07,14.5900,15.1900,0.0395
000895.SZ,2006-05-23,17.9800,18.4800,0.0271
000895.SZ,2007-06-29,25.7400,31.1700,0.1742
000895.SZ,2008-04-28,37.1000,37.9000,0.0211
000895.SZ,2009-04-29,33.5000,34.1000,0.0176
000895.SZ,2010-11-29,49.4800,50.4800,0.0198
000895.SZ,2013-05-03,40.5300,82.4100,0.5082
000895.SZ,2014-04-24,37.6500,39.1000,0.0371
000895.SZ,2015-05-20,25.8900,40.2500,0.3568
000895.SZ,2016-04-28,20.8700,22.1200,0.0565
000895.SZ,2016-09-26,23.3200,24.2200,0.0372
000895.SZ,2017-05-11,20.4700,21.6700,0.0554
000895.SZ,2018-04-27,25.2500,26.3500,0.0417
000895.SZ,2018-12-07,22.5900,23.4900,0.0383
000895.SZ,2019-04-22,26.2000,26.7500,0.0206
000895.SZ,2020-06-10,38.8900,39.8900,0.0251
000895.SZ,2020-11-25,49.4500,50.0900,0.0128
000895.SZ,2021-05-21,36.2800,37.9600,0.0443
000895.SZ,2022-04-29,30.4900,31.7900,0.0409
000895.SZ,2022-09-15,25.4100,26.0100,0.0231
000895.SZ,2023-04-27,24.3100,25.3100,0.0395
000895.SZ,2023-09-11,25.9400,26.6900,0.0281
000895.SZ,2024-04-26,26.7000,27.4000,0.0255
000895.SZ,2024-09-11,22.9600,23.6200,0.0279
000895.SZ,2025-04-30,26.0600,26.8100,0.0280
000895.SZ,2025-08-22,24.8000,25.4500,0.0255
000895.SZ,2026-04-29,28.3000,29.1000,0.0275
000897.SZ,1999-07-23,10.7900,10.9100,0.0110
000897.SZ,2001-06-06,10.6700,16.7100,0.3615
000897.SZ,2003-07-10,5.7100,5.8300,0.0206
000897.SZ,2004-04-30,4.0700,6.1400,0.3371
000897.SZ,2005-11-11,3.1200,3.7800,0.1746
000897.SZ,2008-05-21,7.8100,10.9500,0.2868
000897.SZ,2025-07-28,2.3500,2.4400,0.0369
000898.SZ,2001-06-22,4.5000,4.5900,0.0196
000898.SZ,2002-07-04,4.1100,4.1900,0.0191
000898.SZ,2003-06-11,4.1200,4.2200,0.0237
000898.SZ,2004-06-30,4.2300,4.4300,0.0451
000898.SZ,2005-05-18,3.8400,4.1400,0.0725
000898.SZ,2006-06-28,5.7000,6.0600,0.0594
000898.SZ,2007-06-22,19.9100,20.4900,0.0283
000898.SZ,2007-10-18,32.3800,36.1000,0.1030
000898.SZ,2008-06-27,14.3700,14.9200,0.0369
000898.SZ,2009-06-26,13.9700,14.1800,0.0148
000898.SZ,2011-06-21,6.5900,6.7400,0.0223
000898.SZ,2017-06-30,5.5900,5.6600,0.0124
000898.SZ,2018-06-29,5.4600,5.6900,0.0404
000898.SZ,2019-06-28,3.8400,5.2100,0.2630
000898.SZ,2020-06-30,2.4300,2.4900,0.0241
000898.SZ,2021-06-23,4.3300,4.4100,0.0181
