ts_code,trade_date,jump_pct,factor_change_pct,type
001309.SZ,2024-04-26,0.2316,0.30142890045471815,因子数值不匹配
001309.SZ,2025-07-10,0.2874,0.40338704083483234,因子数值不匹配
001311.SZ,2023-06-07,0.238,0.312295,因子数值不匹配
001311.SZ,2024-06-11,0.2483,0.33036093256470545,因子数值不匹配
001311.SZ,2025-06-10,0.2496,0.33268263847599927,因子数值不匹配
001316.SZ,2025-07-07,0.2915,0.41145165291401714,因子数值不匹配
001331.SZ,2023-06-07,0.2947,0.4177679999999999,因子数值不匹配
001331.SZ,2024-07-17,0.1732,0.20949760468567505,因子数值不匹配
001331.SZ,2025-06-05,0.2857,0.40000011663256124,因子数值不匹配
001332.SZ,2023-05-19,0.2714,0.37252296320189765,因子数值不匹配
001358.SZ,2024-04-24,0.3089,0.4469080000000001,因子数值不匹配
001367.SZ,2024-06-18,0.3332,0.499803,因子数值不匹配
001367.SZ,2025-05-20,0.3282,0.48859150168388793,因子数值不匹配
001380.SZ,2024-05-13,0.3029,0.43442905887954303,因子数值不匹配
001380.SZ,2025-05-20,0.3305,0.49364858304970366,因子数值不匹配
001696.SZ,2005-05-27,0.2391,0.31422001189536575,因子数值不匹配
001696.SZ,2006-04-21,0.1715,0.2070706675385871,因子数值不匹配
001696.SZ,2007-08-27,0.501,1.0041015799300026,因子数值不匹配
001696.SZ,2009-04-30,0.2431,0.32109125164597435,因子数值不匹配
001696.SZ,2010-04-27,0.4133,0.7043248674902572,因子数值不匹配
001872.SZ,2004-06-22,0.2464,无因子记录,Major Missing
001872.SZ,2005-07-06,0.249,无因子记录,Major Missing
001872.SZ,2006-06-19,0.0505,无因子记录,Major Missing
001872.SZ,2018-05-23,0.0547,无因子记录,Major Missing
001914.SZ,2011-06-16,0.3415,无因子记录,Major Missing
001914.SZ,2012-05-17,0.5085,无因子记录,Major Missing
002001.SZ,2005-10-19,0.3333,0.5000004870801978,因子数值不匹配
002001.SZ,2006-06-23,0.5057,1.0229128945023602,因子数值不匹配
002001.SZ,2010-05-14,0.2471,0.32819079666832257,因子数值不匹配
002001.SZ,2010-10-18,0.3333,0.5000002290304317,因子数值不匹配
002001.SZ,2014-05-16,0.3503,0.5391171112749046,因子数值不匹配
002001.SZ,2018-05-30,0.4232,0.7336852854405667,因子数值不匹配
002001.SZ,2021-05-19,0.1812,0.22124166682584853,因子数值不匹配
002001.SZ,2022-05-25,0.1887,0.2325693812790369,因子数值不匹配
002003.SZ,2007-06-21,0.1744,0.21120356947869792,因子数值不匹配
002003.SZ,2007-09-25,0.2307,0.2998274669505949,因子数值不匹配
002003.SZ,2008-06-13,0.2348,0.3068105788875463,因子数值不匹配
002003.SZ,2011-02-25,0.145,0.16956507392470532,因子数值不匹配
002003.SZ,2014-05-07,0.2815,0.39170496518253284,因子数值不匹配
002003.SZ,2015-05-15,0.199,0.24838184480342723,因子数值不匹配
002003.SZ,2017-05-25,0.2579,0.34749746550061245,因子数值不匹配
002003.SZ,2018-06-08,0.2615,0.3540305886209185,因子数值不匹配
002003.SZ,2022-05-27,0.2586,0.34879245161325806,因子数值不匹配
002004.SZ,2004-10-18,0.3427,0.521466,因子数值不匹配
002004.SZ,2012-05-15,0.5058,1.0234445743364475,因子数值不匹配
002004.SZ,2012-09-04,0.3332,0.49969577192077724,因子数值不匹配
002004.SZ,2015-05-27,0.6024,1.5149635344758856,因子数值不匹配
002005.SZ,2005-05-25,0.1247,0.14244999999999997,因子数值不匹配
002005.SZ,2006-07-13,0.3754,0.6009777233139306,因子数值不匹配
