ts_code,trade_date,diff_pct,t_pre_close,t_1_close,factor_now,factor_prev,reason
000960.SZ,2008-04-29,0.1689,32.3300,38.9000,2.007615,1.668540,因子未变动
000960.SZ,2010-01-27,0.1367,28.4700,32.9800,2.327792,2.009467,因子未变动
000962.SZ,2000-08-28,0.4445,34.1200,61.4200,1.800117,1.000000,因子未变动
000962.SZ,2001-09-11,0.1680,23.3300,28.0400,2.170547,1.805951,因子未变动
000963.SZ,2002-07-11,0.5007,14.9600,29.9600,2.026107,1.011701,因子未变动
000963.SZ,2006-11-01,0.3000,5.1100,7.3000,2.141806,2.106517,因子未变动
000963.SZ,2017-05-24,0.5072,45.5800,92.5000,4.726622,2.329075,因子未变动
000963.SZ,2018-06-13,0.3398,49.2700,74.6300,7.159485,4.726622,因子未变动
000963.SZ,2019-06-21,0.1759,24.5100,29.7400,8.687192,7.159485,因子未变动
000965.SZ,2009-05-15,0.3331,9.9700,14.9500,1.650856,1.100939,因子未变动
000965.SZ,2012-05-21,0.3333,4.9000,7.3500,2.476285,1.650856,因子未变动
000966.SZ,2001-06-15,0.1767,13.5100,16.4100,1.228142,1.011103,因子未变动
000966.SZ,2016-06-23,0.5093,6.8500,13.9600,2.716076,1.332745,因子未变动
000967.SZ,2008-06-06,0.3333,5.9200,8.8800,1.540244,1.026829,因子未变动
000967.SZ,2013-06-28,0.1692,6.0400,7.2700,1.853902,1.540244,因子未变动
000967.SZ,2016-07-05,0.3347,14.7100,22.1100,2.807585,1.867914,因子未变动
000967.SZ,2017-06-23,0.3344,10.4900,15.7600,4.218068,2.807585,因子未变动
000967.SZ,2021-07-08,0.0178,6.6200,6.7400,1.018127,4.378112,因子未变动
000967.SZ,2022-07-20,0.0194,5.0600,5.1600,4.545566,1.018127,因子未变动
000968.SZ,2008-05-16,0.2327,30.5700,39.8400,1.392581,1.068554,因子未变动
000969.SZ,2001-04-11,0.3780,29.6000,47.5900,1.607770,1.000000,因子未变动
000969.SZ,2005-04-22,0.2466,6.1100,8.1100,2.220678,1.673038,因子未变动
000969.SZ,2006-05-30,0.0987,8.1300,9.0200,2.463778,2.220678,因子未变动
000969.SZ,2010-04-28,0.4460,19.0700,34.4200,4.945649,2.740079,因子未变动
000970.SZ,2001-04-19,0.4465,30.6100,55.3000,1.806599,1.000000,因子未变动
000970.SZ,2002-04-30,0.3362,15.5000,23.3500,2.721554,1.806599,因子未变动
000970.SZ,2004-09-22,0.5045,6.0800,12.2700,5.663284,2.806256,因子未变动
000970.SZ,2013-06-03,0.5030,16.3400,32.8800,12.001563,5.964280,因子未变动
000972.SZ,2007-05-28,0.4452,17.2000,31.0000,1.885847,1.046341,因子未变动
000972.SZ,2008-06-10,0.2320,13.3100,17.3300,2.455427,1.885847,因子未变动
000973.SZ,2006-06-06,0.3352,2.4200,3.6400,1.781415,1.184347,因子未变动
000973.SZ,2012-06-08,0.3359,5.1200,7.7100,2.682560,1.781415,因子未变动
000975.SZ,2001-09-26,0.3749,13.3200,21.3100,1.610368,1.006575,因子未变动
000975.SZ,2004-07-08,0.4454,3.9100,7.0500,2.980108,1.652798,因子未变动
000975.SZ,2008-01-24,0.3273,12.3100,18.3000,4.506400,3.031355,因子未变动
000975.SZ,2018-06-01,0.2946,11.2800,15.9900,6.836251,4.822571,因子未变动
000975.SZ,2020-09-24,0.2859,10.4900,14.6900,9.839321,7.026172,因子未变动
000977.SZ,2014-05-13,0.5007,24.5100,49.0900,2.066675,1.031864,因子未变动
000977.SZ,2015-04-27,0.5005,35.6600,71.3900,4.137406,2.066675,因子未变动
000978.SZ,2001-04-26,0.3395,18.4200,27.8900,1.514115,1.000000,因子未变动
000978.SZ,2010-05-28,0.2402,9.8700,12.9900,2.222055,1.688351,因子未变动
000980.SZ,2007-04-20,0.3336,8.7100,13.0700,1.512483,1.007937,因子未变动
000981.SZ,2011-08-26,0.1441,4.7500,5.5500,1.206814,1.032859,因子未变动
000981.SZ,2015-11-13,0.6665,7.5700,22.7000,3.755000,1.252218,因子未变动
000981.SZ,2022-02-25,0.4000,2.1000,3.5000,4.062387,3.762421,因子未变动
000983.SZ,2005-05-19,0.3496,8.0200,12.3300,1.623587,1.056056,因子未变动
000983.SZ,2008-09-12,0.5014,10.6200,21.3000,3.492341,1.741252,因子未变动
000983.SZ,2010-06-02,0.2362,22.3800,29.3000,4.648151,3.550362,因子未变动
000983.SZ,2020-06-24,0.2465,3.7600,4.9900,6.772102,5.102827,因子未变动
000983.SZ,2023-06-21,0.1147,9.2600,10.4600,8.267583,7.319104,因子未变动
000983.SZ,2024-07-12,0.0801,9.1900,9.9900,1.000000,8.267583,因子未变动
000985.SZ,2006-10-16,0.1125,8.6800,9.7800,1.168035,1.036661,因子未变动
000987.SZ,2008-07-29,0.3422,18.3800,27.9400,1.666267,1.096134,因子未变动
000987.SZ,2016-06-14,0.3406,12.4500,18.8800,3.066752,2.022302,因子未变动
000987.SZ,2021-08-25,0.2748,8.6300,11.9000,4.402677,3.192866,因子未变动
000987.SZ,2022-06-23,0.2748,6.8100,9.3900,6.070651,4.402677,因子未变动
000988.SZ,2003-04-07,0.5019,15.3800,30.8800,2.033821,1.012959,因子未变动
000988.SZ,2004-04-06,0.2355,12.2700,16.0500,2.660377,2.033821,因子未变动
000988.SZ,2009-09-29,0.1079,11.3300,12.7000,3.315396,2.957750,因子未变动
000988.SZ,2012-07-13,0.5052,7.0900,14.3300,6.768706,3.348927,因子未变动
000989.SZ,2002-10-18,0.2310,12.4500,16.1900,1.342222,1.032160,因子未变动
000989.SZ,2004-05-12,0.1846,7.4200,9.1000,1.692432,1.379983,因子未变动
000989.SZ,2008-05-29,0.1854,10.8500,13.3200,2.274764,1.852942,因子未变动
000989.SZ,2016-05-27,0.1446,20.7600,24.2700,3.225550,2.759061,因子未变动
000990.SZ,2001-04-03,0.3352,24.5500,36.9300,1.504277,1.000000,因子未变动
000990.SZ,2006-04-20,0.2785,4.1200,5.7100,2.152320,1.552988,因子未变动
000997.SZ,2004-05-26,0.5000,9.4700,18.9400,2.086294,1.043147,因子未变动
000997.SZ,2005-05-26,0.2396,7.8700,10.3500,2.743728,2.086294,因子未变动
000997.SZ,2006-06-06,0.2035,9.5500,11.9900,3.444744,2.743728,因子未变动
000997.SZ,2007-05-18,0.1724,11.8600,14.3300,4.162156,3.444744,因子未变动
000997.SZ,2015-06-08,0.4444,40.5300,72.9500,7.718815,4.288466,因子未变动
000997.SZ,2021-07-08,0.0213,16.0900,16.4400,1.021753,8.008817,因子未变动
000997.SZ,2022-07-13,0.0197,12.4100,12.6600,8.347878,1.021753,因子未变动
000998.SZ,2006-03-14,0.3330,7.1500,10.7200,1.586141,1.057920,因子未变动
000998.SZ,2008-07-01,0.3769,20.4000,32.7400,2.603902,1.622468,因子未变动
000998.SZ,2012-06-12,0.3361,16.5500,24.9300,4.351750,2.888948,因子未变动
000998.SZ,2014-07-30,0.5018,13.7000,27.5000,8.798473,4.383239,因子未变动
000999.SZ,2003-06-11,0.2389,7.0400,9.2500,1.342348,1.021636,因子未变动
000999.SZ,2024-06-14,0.2496,45.8800,61.1400,2.205433,1.654977,因子未变动
000999.SZ,2025-06-06,0.2364,33.0200,43.2400,2.952143,2.254388,因子未变动
001201.SZ,2021-06-25,0.2975,42.4100,60.3700,1.423485,1.000000,因子未变动
001201.SZ,2022-06-02,0.1710,32.2300,38.8800,1.717192,1.423485,因子未变动
001202.SZ,2025-06-18,0.2274,12.8400,16.6200,1.396967,1.079245,因子未变动
001205.SZ,2022-04-18,0.2891,20.2400,28.4700,1.406621,1.000000,因子未变动
001206.SZ,2022-09-15,0.2856,27.9900,39.1800,1.456815,1.040741,因子未变动
001206.SZ,2023-04-28,0.3022,15.1500,21.7100,2.087621,1.456815,因子未变动
001207.SZ,2026-04-08,0.2976,20.7900,29.6000,1.580883,1.110357,因子未变动
001209.SZ,2022-06-23,0.2856,15.0800,21.1100,1.424794,1.017806,因子未变动
001210.SZ,2023-06-21,0.1837,22.0400,27.0000,1.249862,1.020258,因子未变动
001210.SZ,2024-06-18,0.1690,13.2300,15.9200,1.503991,1.249862,因子未变动
001210.SZ,2025-06-09,0.1720,13.4800,16.2800,1.832921,1.517676,因子未变动
001212.SZ,2022-06-15,0.2343,49.5500,64.7100,1.319445,1.010331,因子未变动
001212.SZ,2025-05-29,0.2844,51.5600,72.0500,1.863467,1.333523,因子未变动
001218.SZ,2022-06-06,0.3044,24.0900,34.6300,1.437526,1.000000,因子未变动
001219.SZ,2022-06-23,0.2388,21.5800,28.3500,1.313716,1.000000,因子未变动
001219.SZ,2023-06-16,0.2403,18.3700,24.1800,1.729214,1.313716,因子未变动
001219.SZ,2024-06-27,0.2456,11.9500,15.8400,2.292113,1.729214,因子未变动
001222.SZ,2023-06-27,0.2996,14.2400,20.3300,1.427669,1.000000,因子未变动
001223.SZ,2025-05-26,0.2878,37.1600,52.1800,1.431785,1.019646,因子未变动
001230.SZ,2024-06-06,0.1824,14.1200,17.2700,1.233138,1.008217,因子未变动
001266.SZ,2022-07-14,0.2952,31.8700,45.2200,1.418889,1.000000,因子未变动
001269.SZ,2023-06-12,0.2900,59.4000,83.6600,1.408418,1.000000,因子未变动
001270.SZ,2023-05-12,0.2878,87.2600,122.5200,1.404080,1.000000,因子未变动
001270.SZ,2024-05-07,0.2336,41.1100,53.6400,1.832032,1.404080,因子未变动
001282.SZ,2024-07-09,0.2947,18.6900,26.5000,1.417871,1.000000,因子未变动
001282.SZ,2025-06-26,0.2883,19.8700,27.9200,2.001328,1.424298,因子未变动
001288.SZ,2025-05-16,0.2918,21.2100,29.9500,1.446118,1.024112,因子未变动
001296.SZ,2022-06-24,0.2410,23.0800,30.4100,1.317591,1.000000,因子未变动
001296.SZ,2024-05-30,0.2983,16.0700,22.9000,1.886841,1.324085,因子未变动
001298.SZ,2023-05-23,0.3163,23.4100,34.2400,1.462623,1.000000,因子未变动
001298.SZ,2024-05-29,0.3162,15.8100,23.1200,2.138889,1.462623,因子未变动
001298.SZ,2025-05-28,0.3118,19.1800,27.8700,3.107969,2.138889,因子未变动
001298.SZ,2026-04-17,0.3118,20.9700,30.4700,4.515966,3.107969,因子未变动
001299.SZ,2025-04-29,0.2676,10.8400,14.8000,1.396343,1.022727,因子未变动
001299.SZ,2026-04-29,0.2524,11.6700,15.6100,1.413900,1.413900,因子未变动
001308.SZ,2022-06-01,0.2458,28.9400,38.3700,1.325847,1.000000,因子未变动
001308.SZ,2023-04-28,0.2496,26.4600,35.2600,1.766793,1.325847,因子未变动
001309.SZ,2023-07-13,0.2869,77.2600,108.3500,1.402407,1.000000,因子未变动
001309.SZ,2024-04-26,0.2316,93.8200,122.1000,1.825133,1.402407,因子未变动
001309.SZ,2025-07-10,0.2874,86.7900,121.8000,2.561368,1.825133,因子未变动
001311.SZ,2023-06-07,0.2380,57.9900,76.1000,1.312295,1.000000,因子未变动
001311.SZ,2024-06-11,0.2483,26.9100,35.8000,1.745826,1.312295,因子未变动
001311.SZ,2025-06-10,0.2496,20.5000,27.3200,2.326632,1.745826,因子未变动
001316.SZ,2025-07-07,0.2915,31.9600,45.1100,1.467969,1.040042,因子未变动
001331.SZ,2023-06-07,0.2947,18.9100,26.8100,1.417768,1.000000,因子未变动
001331.SZ,2024-07-17,0.1732,10.7400,12.9900,1.714787,1.417768,因子未变动
001331.SZ,2025-06-05,0.2857,9.8500,13.7900,2.400702,1.714787,因子未变动
001332.SZ,2023-05-19,0.2714,44.4000,60.9400,1.421194,1.035461,因子未变动
001358.SZ,2024-04-24,0.3089,25.7100,37.2000,1.446908,1.000000,因子未变动
001367.SZ,2024-06-18,0.3332,25.4300,38.1400,1.499803,1.000000,因子未变动
001367.SZ,2025-05-20,0.3282,20.1600,30.0100,2.232594,1.499803,因子未变动
001380.SZ,2024-05-13,0.3029,20.9700,30.0800,1.446134,1.008160,因子未变动
001380.SZ,2025-05-20,0.3305,22.0400,32.9200,2.160016,1.446134,因子未变动
001696.SZ,2005-05-27,0.2391,4.3600,5.7300,2.810654,2.138648,因子未变动
001696.SZ,2006-04-21,0.1715,3.9600,4.7800,3.392658,2.810654,因子未变动
001696.SZ,2007-08-27,0.5010,26.8200,53.7500,6.804480,3.395277,因子未变动
001696.SZ,2009-04-30,0.2431,9.5300,12.5900,8.989339,6.804480,因子未变动
001696.SZ,2010-04-27,0.4133,11.3300,19.3100,15.320754,8.989339,因子未变动
001872.SZ,2000-07-24,0.0100,11.8500,11.9700,None,None,缺失因子记录
001872.SZ,2003-07-24,0.0168,16.9700,17.2600,None,None,缺失因子记录
001872.SZ,2004-06-22,0.2464,18.3800,24.3900,None,None,缺失因子记录
001872.SZ,2005-07-06,0.2490,20.0600,26.7100,None,None,缺失因子记录
001872.SZ,2006-06-19,0.0505,14.1100,14.8600,None,None,缺失因子记录
001872.SZ,2007-07-05,0.0207,27.4200,28.0000,None,None,缺失因子记录
001872.SZ,2008-07-25,0.0406,16.0700,16.7500,None,None,缺失因子记录
001872.SZ,2009-07-17,0.0299,16.2000,16.7000,None,None,缺失因子记录
001872.SZ,2010-08-06,0.0238,13.1200,13.4400,None,None,缺失因子记录
001872.SZ,2011-07-22,0.0309,14.4400,14.9000,None,None,缺失因子记录
001872.SZ,2012-07-20,0.0405,9.4800,9.8800,None,None,缺失因子记录
001872.SZ,2013-07-17,0.0308,11.3100,11.6700,None,None,缺失因子记录
001872.SZ,2014-07-16,0.0295,12.8500,13.2400,None,None,缺失因子记录
001872.SZ,2015-07-22,0.0120,26.3700,26.6900,None,None,缺失因子记录
001872.SZ,2016-07-28,0.0245,16.3200,16.7300,None,None,缺失因子记录
001872.SZ,2017-08-01,0.0179,27.4900,27.9900,None,None,缺失因子记录
001872.SZ,2018-05-23,0.0547,22.8200,24.1400,None,None,缺失因子记录
001914.SZ,2003-06-27,0.0111,8.9300,9.0300,None,None,缺失因子记录
001914.SZ,2004-07-09,0.0132,7.4500,7.5500,None,None,缺失因子记录
001914.SZ,2005-07-15,0.0207,4.7400,4.8400,None,None,缺失因子记录
001914.SZ,2006-07-12,0.0120,8.2300,8.3300,None,None,缺失因子记录
001914.SZ,2008-07-03,0.0275,8.8300,9.0800,None,None,缺失因子记录
001914.SZ,2011-06-16,0.3415,8.3500,12.6800,None,None,缺失因子记录
001914.SZ,2012-05-17,0.5085,5.5200,11.2300,None,None,缺失因子记录
001914.SZ,2012-09-11,0.0101,4.0100,3.9700,None,None,缺失因子记录
001914.SZ,2013-06-17,0.0179,5.4900,5.5900,None,None,缺失因子记录
001914.SZ,2014-05-16,0.0379,5.0800,5.2800,None,None,缺失因子记录
001914.SZ,2018-06-06,0.0126,7.8600,7.9600,None,None,缺失因子记录
001914.SZ,2019-06-06,0.0278,10.5000,10.8000,6.411102,None,缺失因子记录
001914.SZ,2025-08-13,0.0184,12.7900,13.0300,1.000000,6.689526,因子未变动
002001.SZ,2005-10-19,0.3333,8.7200,13.0800,1.539788,1.026525,因子未变动
002001.SZ,2006-06-23,0.5057,6.1100,12.3600,3.114857,1.539788,因子未变动
002001.SZ,2010-05-14,0.2471,35.6500,47.3500,4.366232,3.287353,因子未变动
002001.SZ,2010-10-18,0.3333,22.4800,33.7200,6.549349,4.366232,因子未变动
